ime,drzava,leto,rang,miza
WORLD CUP 2013,France,2013,World Cup,table_23
Liverpool Open 2013,United Kingdom,2013,Masters,table_17
Czech Leonhart Open 2013,Czech Republic,2013,Pro Tour,table_28
Danube Open,Austria,2013,Masters,table_17
Hoenheim Open,France,2013,Masters,table_16
Taichung Foosball Open,Chinese Taipei,2013,Pro Tour,table_29
Pro Tour Segré,France,2013,Pro Tour,table_16
Antwerp Open,Belgium,2013,Masters,table_28
Luxembourg Leonhart Open,Luxembourg,2013,Masters,table_28
Green Heart Open,Austria,2013,Pro Tour,table_17
Deutsch-Französische Tischfußballtage,Germany,2013,Pro Tour,table_16
2013 Shanghai Open,China,2013,Masters,table_29
Desert Classic ,United States,2013,Masters,table_81
Master Series Evry,France,2013,Masters,table_16
Washington State Open,United States,2013,Pro Tour,table_29
Bonzini World Championships Series,France,2013,WS,table_16
Pro Tour Saint-Petersburg,ROC,2013,Pro Tour,table_17
South Styrian Open,Austria,2013,Masters,table_17
Capital Venue Open,United Kingdom,2013,Pro Tour,table_28
Rocky Mountain Open,United States,2013,International,table_81
NSW Open,Australia,2013,Pro Tour,table_29
Hungarian Leonhart Open,Hungary,2013,Pro Tour,table_28
Garlando World Championship Series,Austria,2013,WS,table_17
Szeligi Open Game 2013,Poland,2013,Pro Tour,table_17
Romanian Bonzini Championships,Romania,2013,Pro Tour,table_16
Victorian Open,Australia,2013,Masters,table_29
Italian Master Series - a Foosball Holiday Xperience,Italy,2013,Masters,table_18
Leonhart Summer Open,United Kingdom,2013,Masters,table_28
Runaway Bay Super Doubles,United States,2013,International,table_81
Foosball Festival,Spain,2013,Pro Tour,table_28
Roberto Sport Open,Romania,2013,Pro Tour,table_18
Soester Stadtmeisterschaft,Germany,2013,Masters,table_28
Latvia open,,2013,Pro Tour,table_17
Liverpool Multitable Open,United Kingdom,2013,Pro Tour,table_28
Asia Open,Chinese Taipei,2013,International,table_29
PRO TOUR SOFIA OPEN,,2013,Pro Tour,table_18
Danish Open,Denmark,2013,Masters,table_16
EUROPEAN CHAMPIONS CUP 2013,Germany,2013,ECL,table_23
Leonhart World Championship Series,Germany,2013,WS,table_28
Australian Open,Australia,2013,Masters,table_29
VI Sofia Grand Masters,,2013,Masters,table_18
Pro Tour Madrid Supra,Spain,2013,Pro Tour,table_28
Saint-Petersburg Open,ROC,2013,Masters,table_17
Roberto Sport International - 2013,Poland,2013,International,table_18
Romanian Bonzini Masters,Romania,2013,Masters,table_16
Fireball World Championship Series,,2013,WS,table_29
WORLD CHAMPIONSHIPS 2014,France,2013,WCHs,table_23
Austrian National Championships,Austria,2013,Masters,table_17
Montreuil sur Mer Open,France,2013,Masters,table_16
Mistrzostwa Polski Garlando 2013,Poland,2013,Masters,table_17
Leonhart Winter Open,United Kingdom,2013,Masters,table_28
Texel Open Pro Tour,Netherlands,2013,Pro Tour,table_18
Czech Leonhart Open ,Czech Republic,2013,Masters,table_28
Bedelux,Luxembourg,2013,Pro Tour,table_28
Campeonato de España de Futbolin 2013,Spain,2013,Pro Tour,table_28
Shanghai Challenge,China,2013,Masters,table_29
Belgian Leonhart Open,Belgium,2013,Masters,table_28
WORLD CUP 2014,France,,World Cup,table_23
Liverpool Open 2014,United Kingdom,2014,Masters,table_17
Foosball Festival 2014,Spain,2014,Pro Tour,table_28
Baltic Cup - 1st Round,,2014,Masters,table_17
Danube Open,Austria,2014,Masters,table_17
Mistrzostwa Polski Leonhart 2014,Poland,2014,Pro Tour,table_28
2014 Taichung Open,Chinese Taipei,2014,Masters,table_29
Hoenheim Open,France,2014,Masters,table_16
Leonhart Spring Open,United Kingdom,2014,Masters,table_28
Pro Tour Porto,Portugal,2014,Pro Tour,table_18
Odense Open,Denmark,2014,Pro Tour,table_16
Open Luxembourg,Luxembourg,2014,Masters,table_28
Hungarian Leonhart Open,Hungary,2014,Pro Tour,table_28
Pro Tour Segré,France,2014,Pro Tour,table_16
Mittelhessische Meisterschaft,Germany,2014,Pro Tour,table_28
Final FTB.CZ Leonhart Tour,Czech Republic,2014,Masters,table_28
Pro Tour Evry,France,2014,Pro Tour,table_16
Victorian Open,Australia,2014,Pro Tour,table_29
Deutsch-Französische Tischfußballtage,Germany,2014,Pro Tour,table_16
Pielachtal Open,Austria,2014,Pro Tour,table_17
Beijing International Challenge,China,2014,Masters,table_29
Hannover Open,Germany,2014,Masters,table_28
2014 Dalian Open International Challenge,China,2014,International,table_29
Saint-Petersburg Open,ROC,2014,Masters,table_17
World Championship Series Bonzini,France,2014,WS,table_16
Balkan Open,,2014,Pro Tour,table_18
Latvia Open,Latvia,2014,Pro Tour,table_17
Rotterdam Foosball Open,Netherlands,2014,Pro Tour,table_28
Pro Tour Maia,Portugal,2014,Pro Tour,table_18
Leonhart Summer Open,United Kingdom,2014,Pro Tour,table_28
8th Czech Open - Roberto Sport,Czech Republic,2014,Masters,table_18
Roberto Sport Challenge 2014,,2014,Pro Tour,table_18
Warrior Baneberry,United States,2014,Masters,table_81
Rheinland-Pfalz Open,Germany,2014,Pro Tour,table_28
World Championship Series Garlando ,Austria,2014,WS,table_17
Dipole Cup - Vilnius,Lithuania,2014,Pro Tour,table_17
Szeligi Open Game 2014,Poland,2014,Pro Tour,table_17
Pro Tour Lisboa,Portugal,2014,Pro Tour,table_18
Foosball Lake Challenger,Austria,2014,Pro Tour,table_17
NSW Open,Australia,2014,Pro Tour,table_29
Garlando Action Pro Tour,Bulgaria,2014,Pro Tour,table_17
Palm Springs Tourney,United States,2014,Masters,table_81
Baltic Cup | Helsinki,Finland,2014,Masters,table_17
Danish Open,Denmark,2014,Masters,table_16
Goldach Pro Tour,Switzerland,2014,Pro Tour,table_17
World Championship Series Leonhart,Luxembourg,2014,WS,table_28
Shanghai Open 2014,China,2014,Masters,table_29
Australian Open,Australia,2014,Masters,table_29
Capricorn Pro Tour,Switzerland,2014,Pro Tour,table_17
Sofia Grand Masters 2014,,2014,Masters,table_18
Saint-Petersburg Challenge 2014,ROC,2014,Pro Tour,table_17
Romanian Bonzini Masters,Romania,2014,Masters,table_16
European Champions League 2014,Italy,2014,ECL,table_23
2014 Kaohsiung Foosball Open,Chinese Taipei,2014,International,table_29
World Championship Series Roberto Sport,Italy,2014,WS,table_18
Cologne Open 2014,Germany,2014,Masters,table_28
Baltic Cup | Vilnius FINAL ROUND,Lithuania,2014,Masters,table_17
I. Multitable tour 2014/15,Slovakia,2014,Pro Tour,table_23
Energy Open,Austria,2014,Pro Tour,table_17
III. Hungarian Leonhart Open,Hungary,2014,Pro Tour,table_28
Open Montreuil sur Mer,France,2014,Masters,table_16
